month,brand,price_tier,consider_purchase_tier,decision_tier,purchase_count,revenue,purchase_user_count,avg_time_to_purchase_sec,median_time_to_purchase_sec_approx
10월,unknown,고가,12h 이내,즉시 구매(60s),121,92813.2,88,33.98,35.0
10월,unknown,고가,12h 이내,1시간 내 구매,6,4502.91,4,2867.67,3137.0
10월,unknown,중가,12h 이내,즉시 구매(60s),8,1311.68,8,44.12,45.5
10월,unknown,중가,12h 이내,5분 내 구매,18,3630.61,16,169.94,156.0
10월,unknown,중가,12h 이내,30분 내 구매,7,1425.96,7,769.57,608.5
10월,unknown,중가,12h 이내,1시간 초과,1,177.61,1,8786.0,8786.0
10월,vivo,고가,12h 이내,30분 내 구매,171,53266.42,152,613.4,540.0
10월,vivo,고가,12h 이내,5분 내 구매,476,151784.28,369,141.95,128.5
10월,vivo,고가,12h 이내,즉시 구매(60s),187,61735.02,119,37.06,36.25
10월,vivo,고가,즉시 구매,즉시 구매(60s),2,617.72,2,-50.5,-50.5
10월,vivo,고가,12h 이내,1시간 내 구매,14,4373.48,11,2326.93,2461.0
10월,vivo,고가,36h 초과,1시간 초과,2,617.72,2,165632.0,165632.0
10월,vivo,고가,12h 이내,1시간 초과,2,604.8,2,5745.5,5745.5
10월,vivo,중가,12h 이내,30분 내 구매,220,41341.04,191,564.65,464.25
10월,vivo,중가,12h 이내,5분 내 구매,637,122430.17,478,141.92,128.0
10월,vivo,중가,12h 이내,즉시 구매(60s),292,54882.24,159,36.49,37.0
10월,vivo,중가,즉시 구매,즉시 구매(60s),6,1078.9,5,-138.5,-66.0
10월,vivo,중가,12h 이내,1시간 내 구매,9,1569.86,9,2567.11,2545.0
10월,vivo,중가,12h 이내,1시간 초과,4,875.08,4,7680.75,5091.0
10월,vivo,중가,36h 초과,1시간 초과,3,501.87,3,,
10월,xiaomi,고가,12h 이내,1시간 내 구매,110,38861.2,100,2536.79,2539.0
