month,category_code,brand,purchase_count,revenue,brand_rank_in_category
11월,appliances.environment.vacuum,xiaomi,1152,428443.24,2
11월,appliances.environment.vacuum,bosch,2053,302149.69,3
11월,appliances.environment.water_heater,ariston,1930,231702.83,1
11월,appliances.environment.water_heater,thermex,316,32655.65,2
11월,appliances.environment.water_heater,haier,183,16981.02,3
11월,appliances.iron,tefal,942,91619.16,1
11월,appliances.iron,philips,692,86260.81,2
11월,appliances.iron,braun,388,57046.09,3
11월,appliances.ironing_board,nika,609,22124.1,1
11월,appliances.ironing_board,perilla,162,6109.93,2
11월,appliances.ironing_board,delonghi,14,4864.58,3
11월,appliances.kitchen.blender,braun,1027,89339.89,1
11월,appliances.kitchen.blender,redmond,730,43180.44,2
11월,appliances.kitchen.blender,bosch,219,27929.38,3
11월,appliances.kitchen.coffee_grinder,delonghi,22,1307.07,1
11월,appliances.kitchen.coffee_grinder,bosch,20,856.52,2
11월,appliances.kitchen.coffee_grinder,vitek,38,748.61,3
11월,appliances.kitchen.coffee_machine,delonghi,255,119086.65,1
11월,appliances.kitchen.coffee_machine,philips,54,34856.43,2
11월,appliances.kitchen.coffee_machine,smeg,19,9453.41,3
11월,appliances.kitchen.dishwasher,bosch,254,142608.6,1
11월,appliances.kitchen.dishwasher,hansa,268,89475.09,2
11월,appliances.kitchen.dishwasher,beko,159,50441.35,3
11월,appliances.kitchen.fryer,clatronic,1,46.31,1
11월,appliances.kitchen.grill,delonghi,312,97553.79,1
11월,appliances.kitchen.grill,tefal,308,64358.86,2
11월,appliances.kitchen.grill,redmond,94,13075.91,3
11월,appliances.kitchen.hob,bosch,169,64259.66,1
11월,appliances.kitchen.hob,hansa,163,34951.19,2
11월,appliances.kitchen.hob,midea,196,31059.66,3
11월,appliances.kitchen.hood,bosch,249,40841.22,1
11월,appliances.kitchen.hood,midea,152,18781.3,2
11월,appliances.kitchen.hood,hansa,122,13907.68,3
11월,appliances.kitchen.juicer,bosch,162,23606.93,1
11월,appliances.kitchen.juicer,philips,94,11020.69,2
11월,appliances.kitchen.juicer,braun,60,8928.18,3
11월,appliances.kitchen.kettle,redmond,732,25427.83,1
11월,appliances.kitchen.kettle,tefal,374,19335.12,2
11월,appliances.kitchen.kettle,bosch,107,8232.82,3
11월,appliances.kitchen.meat_grinder,bosch,411,73399.12,1
11월,appliances.kitchen.meat_grinder,moulinex,396,56610.53,2
11월,appliances.kitchen.meat_grinder,unknown,621,35131.57,3
11월,appliances.kitchen.microwave,samsung,1232,154884.95,1
11월,appliances.kitchen.microwave,arg,1410,82206.45,2
11월,appliances.kitchen.microwave,lg,567,60854.5,3
11월,appliances.kitchen.mixer,kitfort,292,35635.93,1
11월,appliances.kitchen.mixer,smeg,33,18085.95,2
11월,appliances.kitchen.mixer,vitek,255,11601.98,3
11월,appliances.kitchen.oven,bosch,256,99472.92,1
11월,appliances.kitchen.oven,electrolux,90,53424.21,2
11월,appliances.kitchen.oven,asel,958,49573.75,3
11월,appliances.kitchen.refrigerators,lg,1690,1022116.96,1
11월,appliances.kitchen.refrigerators,indesit,2348,721297.17,2
11월,appliances.kitchen.refrigerators,unknown,2622,633749.3,3
11월,appliances.kitchen.steam_cooker,tefal,76,7504.03,1
11월,appliances.kitchen.steam_cooker,braun,37,3669.33,2
11월,appliances.kitchen.steam_cooker,polaris,54,2318.37,3
11월,appliances.kitchen.toster,smeg,30,6325.41,1
11월,appliances.kitchen.toster,bosch,93,5785.35,2
11월,appliances.kitchen.toster,philips,113,3973.29,3
11월,appliances.kitchen.washer,samsung,6294,2426584.9,1
11월,appliances.kitchen.washer,lg,3856,1472854.94,2
11월,appliances.kitchen.washer,indesit,2764,565008.08,3
11월,appliances.personal.hair_cutter,philips,306,14627.24,1
11월,appliances.personal.hair_cutter,braun,255,12547.4,2
11월,appliances.personal.hair_cutter,moser,44,3211.19,3
11월,appliances.personal.massager,casada,137,81534.02,1
11월,appliances.personal.massager,unknown,36,8794.24,2
11월,appliances.personal.massager,gezatone,49,2702.1,3
11월,appliances.personal.scales,xiaomi,315,9689.06,1
11월,appliances.personal.scales,elenberg,469,4751.78,2
11월,appliances.personal.scales,scarlett,221,2517.71,3
11월,appliances.sewing_machine,janome,1833,423589.63,1
11월,appliances.sewing_machine,bernina,125,65478.69,2
11월,appliances.sewing_machine,chayka,444,42301.03,3
11월,auto.accessories.alarm,starline,2731,387626.17,1
11월,auto.accessories.alarm,pandora,209,44077.05,2
11월,auto.accessories.alarm,centurion,146,12600.29,3
11월,auto.accessories.anti_freeze,wurth,15,383.4,1
11월,auto.accessories.anti_freeze,ravenol,3,63.07,2
11월,auto.accessories.compressor,unknown,427,51648.28,1
11월,auto.accessories.compressor,denzel,50,13273.99,2
11월,auto.accessories.compressor,magnetta,47,8880.84,3
11월,auto.accessories.parktronic,parkmaster,52,2800.48,1
11월,auto.accessories.parktronic,erisson,14,504.56,2
11월,auto.accessories.parktronic,pioneer,3,142.86,3
11월,auto.accessories.player,unknown,1314,166138.21,1
11월,auto.accessories.player,pioneer,1235,164626.26,2
11월,auto.accessories.player,kenwood,350,37865.94,3
11월,auto.accessories.radar,ibox,255,18042.61,1
11월,auto.accessories.radar,neoline,93,9631.55,2
11월,auto.accessories.radar,unknown,76,7035.98,3
11월,auto.accessories.videoregister,sho-me,760,110053.29,1
11월,auto.accessories.videoregister,neoline,329,59169.79,2
11월,auto.accessories.videoregister,unknown,289,21308.29,3
11월,auto.accessories.winch,denzel,16,8055.87,1
